,gene_id,gene_name
284748,Xelaev18023167m.g,eps15.L
284798,Xelaev18023168m.g,calr3.L
284817,Xelaev18023169m.g,osbpl9.L
284865,Xelaev18023170m.g,nrdc.L
284927,Xelaev18023171m.g,rab3b.L
284936,Xelaev18023172m.g,txndc12.L
284950,Xelaev18023173m.g,btf3l4.L
284961,Xelaev18023174m.g,zfyve9.L
284996,Xelaev18023175m.g,Xelaev18023175m.g
284998,Xelaev18023176m.g,Xelaev18023176m.g
284999,Xelaev18023177m.g,cc2d1b.L
285048,Xelaev18023178m.g,orc1.L
285083,Xelaev18023179m.g,prpf38a.L
285094,Xelaev18023180m.g,zcchc11.L
285153,Xelaev18023181m.g,gpx7.L
285159,Xelaev18023182m.g,fam159a.L
285166,Xelaev18023183m.g,coa7.L
285172,Xelaev18023184m.g,zyg11b.L
285200,Xelaev18023185m.g,echdc2.L
285220,Xelaev18023186m.g,scp2.L
285252,Xelaev18023187m.g,podn.L
285273,Xelaev18023188m.g,slc1a7.L
285284,Xelaev18023189m.g,cpt2.L
285294,Xelaev18023191m.g,Xelaev18023191m.g
285299,Xelaev18023192m.g,magoh.L
285309,Xelaev18023193m.g,Xelaev18023193m.g
285310,Xelaev18023194m.g,lrp8.L
285348,Xelaev18023195m.g,LOC105947003.L
285350,Xelaev18023197m.g,ndc1.L
285386,Xelaev18023198m.g,yipf1.L
285404,Xelaev18023199m.g,dio1.L
285407,Xelaev18023200m.g,hspb11.L
285417,Xelaev18023201m.g,lrrc42.L
285424,Xelaev18023202m.g,ldlrad1.L
285436,Xelaev18023203m.g,tmem59.L
285452,Xelaev18023204m.g,Xelaev18023204m.g
285453,Xelaev18023205m.g,Xelaev18023205m.g
285454,Xelaev18023206m.g,Xelaev18023206m.g
285455,Xelaev18023207m.g,cdcp2.L
285461,Xelaev18023208m.g,LOC100498184.L
285469,Xelaev18023209m.g,mrpl37.L
285483,Xelaev18023210m.g,ssbp3.L
285519,Xelaev18023212m.g,acot11.L
285553,Xelaev18023213m.g,fam151a.L
285566,Xelaev18023214m.g,ttc4.L
285587,Xelaev18023215m.g,pars2.L
285590,Xelaev18023216m.g,ttc22.L
285604,Xelaev18023217m.g,lexm.L
285624,Xelaev18023218m.g,dhcr24.L
285643,Xelaev18023219m.g,bsnd.L
285649,Xelaev18023221m.g,pcsk9.L
285673,Xelaev18023222m.g,cenpl.L
285674,Xelaev18023223m.g,dars2.L
285710,Xelaev18023224m.g,rabgap1l.L
285761,Xelaev18023225m.g,Xelaev18023225m.g
285763,Xelaev18023226m.g,gpr52.L
285764,Xelaev18023227m.g,Xelaev18023227m.g
285766,Xelaev18023228m.g,Xelaev18023228m.g
285776,Xelaev18023229m.g,Xelaev18023229m.g
285783,Xelaev18023230m.g,rc3h1.L
285822,Xelaev18023231m.g,Xelaev18023231m.g
285823,Xelaev18023232m.g,serpinc1.L
285836,Xelaev18023233m.g,Xelaev18023233m.g
285840,Xelaev18023234m.g,zbtb37.L
285847,Xelaev18023235m.g,cacybp.L
285859,Xelaev18023236m.g,tnn.L
285892,Xelaev18023237m.g,kiaa0040.L
285893,Xelaev18023238m.g,tnr.L
285933,Xelaev18023239m.g,Xelaev18023239m.g
285935,Xelaev18023240m.g,Xelaev18023240m.g
285937,Xelaev18023241m.g,rfwd2.L
285977,Xelaev18023242m.g,pappa2.L
286023,Xelaev18023243m.g,astn1.L
286069,Xelaev18023244m.g,brinp2.L
286084,Xelaev18023245m.g,sec16b.L
286135,Xelaev18023246m.g,LOC100488200.L
286143,Xelaev18023247m.g,Xelaev18023247m.g
286144,Xelaev18023248m.g,Xelaev18023248m.g
286154,Xelaev18023250m.g,rasal2.L
286190,Xelaev18023251m.g,Xelaev18023251m.g
286192,Xelaev18023252m.g,ralgps2.L
286231,Xelaev18023253m.g,angptl1.L
286240,Xelaev18023254m.g,fam20b.L
286255,Xelaev18023255m.g,tor3a.L
286267,Xelaev18023256m.g,abl2.L
286289,Xelaev18023257m.g,arpc5.L
286297,Xelaev18023258m.g,ncf2.L
286327,Xelaev18023259m.g,smg7.L
286371,Xelaev18023260m.g,nmnat2.L
286381,Xelaev18023261m.g,lamc2.L
286427,Xelaev18023262m.g,Xelaev18023262m.g
286429,Xelaev18023263m.g,lamc1.L
286485,Xelaev18023264m.g,dhx9.L
286538,Xelaev18023266m.g,rgs8.L
286548,Xelaev18023267m.g,rgs16.L
286558,Xelaev18023268m.g,glul-like.1.L
286571,Xelaev18023269m.g,znf91.L
286572,Xelaev18023270m.g,cacna1e.L
286666,Xelaev18023271m.g,Xelaev18023271m.g
